Season,Position,Champion,Kills,Deaths,Assists,Win/Loss
9,Mid,Lux,15,9,12,Win
9,Top,Nasus,3,7,5,Loss
9,Mid,Orianna,7,11,9,Loss
9,Top,Maokai,8,4,11,Win
9,Mid,Lux,4,7,13,Win
9,Mid,Lux,13,2,13,Win
9,Support,Soraka,3,2,13,Win
9,Mid,Orianna,5,7,22,Win
9,Mid,Lux,5,9,18,Loss
9,Mid,Ahri,1,6,1,Loss
9,Mid,Orianna,2,0,11,Win
9,Mid,Lux,0,10,5,Loss
9,Mid,Lux,12,8,16,Win
9,Mid,Orianna,5,12,11,Loss
9,Support,Morgana,1,8,10,Loss
9,Support,Sona,1,6,8,Loss
9,Mid,Lux,8,7,12,Win
9,Mid,Orianna,0,11,4,Loss
9,Mid,Lux,7,3,9,Loss
9,Mid,Lux,7,5,9,Win
9,Mid,Lux,17,7,7,Loss
9,Mid,Lux,6,3,6,Loss
9,Mid,Orianna,6,4,1,Win
9,Mid,LeBlanc,5,7,7,Win
9,Mid,Veigar,3,11,7,Loss
9,Mid,Ahri,22,12,1,Loss
9,Mid,Orianna,9,4,16,Win
9,Mid,Lux,9,11,6,Loss
9,Mid,Ahri,3,2,2,Loss
9,Mid,Lux,8,8,4,Loss
9,Mid,Ahri,8,3,6,Loss
9,Support,Veigar,4,9,12,Loss
9,Support,Morgana,9,10,14,Loss
9,Support,Sona,3,10,8,Loss
9,Mid,Lux,3,7,9,Loss
9,Support,Sona,1,8,3,Loss
9,Support,Sona,2,2,4,Win
9,Support,Morgana,3,10,18,Win
9,Support,Morgana,8,9,19,Win
9,Support,Morgana,3,8,16,Win
9,Support,Vel'Koz,2,12,7,Loss
9,Support,Morgana,3,4,4,Loss
9,Support,Sona,2,9,8,Loss
9,Support,Sona,5,8,19,Win
9,Mid,Lux,10,3,24,Win
9,Support,Neeko,7,12,5,Loss
9,Support,Morgana,1,13,17,Win
9,Support,Sona,2,6,16,Win
9,Support,Veigar,9,5,6,Win
9,Support,Sona,1,6,15,Loss
9,Support,Neeko,4,12,6,Loss
9,Support,Sona,2,8,18,Win
9,Support,Sona,4,1,10,Win
9,Support,Sona,6,7,16,Win
9,Support,Sona,4,9,24,Win
9,Support,Morgana,3,12,23,Loss
9,Support,Veigar,2,8,1,Loss
9,Support,Sona,1,7,12,Loss
9,Support,Morgana,6,4,16,Win
9,Support,Morgana,2,5,20,Win
9,Support,Sona,5,13,34,Loss
9,Support,Veigar,3,15,6,Loss
9,Support,Morgana,0,5,12,Win
9,Support,Morgana,11,4,12,Win
9,Support,Sona,10,10,32,Win
9,Support,Zyra,3,11,10,Win
9,Support,Veigar,9,14,13,Win
9,Support,Morgana,5,11,28,Win
9,Support,Sona,10,6,26,Win
9,Support,Veigar,7,6,10,Loss
9,Support,Veigar,4,11,5,Loss
9,Support,Veigar,3,16,11,Loss
9,Support,Veigar,7,10,8,Loss
9,Support,Morgana,6,7,11,Loss
9,Support,Soraka,2,10,13,Loss
9,Support,Sona,10,6,24,Win
9,Support,Veigar,7,15,9,Loss
9,Support,Veigar,4,13,16,Win
9,Support,Veigar,7,9,4,Loss
9,Mid,Veigar,9,6,6,Win
9,Support,Neeko,3,7,3,Loss
9,Support,Lux,5,7,11,Win
9,Support,Morgana,4,10,8,Loss
9,Support,Lux,2,10,9,Loss
9,Support,Janna,0,5,21,Win
9,Support,Sona,0,6,7,Loss
9,Support,Veigar,4,4,4,Win
9,Support,Veigar,3,8,2,Loss
9,Support,Veigar,10,16,11,Loss
9,Support,Blitzcrank,1,4,8,Loss
9,Support,Veigar,6,6,13,Win
9,Support,Janna,3,4,22,Win
9,Support,Morgana,6,2,16,Win
9,Support,Veigar,5,7,6,Loss
9,Support,Sona,2,10,9,Loss
9,Support,Nami,1,11,8,Win
9,Support,Morgana,0,11,10,Loss
9,Mid,Lux,2,7,3,Loss
9,Support,Lux,12,10,24,Win
9,Support,Veigar,8,5,11,Loss
9,Support,Lux,3,12,13,Loss
9,Support,Veigar,2,10,7,Loss
9,Support,Morgana,4,8,13,Loss
9,Support,Morgana,2,13,6,Loss
9,Top,Maokai,4,4,8,Win
9,Support,Morgana,5,9,21,Win
9,Support,Veigar,14,8,16,Win
9,Support,Lux,1,9,9,Loss
9,Support,Soraka,0,12,7,Loss
9,Support,Soraka,4,10,18,Win
9,Support,Sona,2,2,7,Win
9,Support,Lux,9,12,12,Win
9,Support,Veigar,3,7,11,Win
9,Support,Nami,4,13,18,Win
9,Support,Sona,6,3,21,Win
9,Support,Morgana,7,4,14,Win
9,Support,Morgana,4,6,1,Loss
9,Support,Lux,11,12,13,Win
9,Support,Morgana,6,13,16,Win
9,Support,Soraka,3,10,21,Win
9,Support,Morgana,3,10,19,Win
9,Support,Morgana,3,9,9,Win
9,Top,Shen,3,10,21,Win
9,Support,Veigar,12,8,13,Win
9,Support,Morgana,2,5,11,Win
9,Support,Morgana,0,11,15,Win
9,Support,Morgana,3,11,24,Win
9,Mid,Lux,4,7,5,Loss
9,Support,Veigar,2,9,2,Loss
9,Top,Top,6,4,8,Win
8,Support,Veigar,6,20,12,Loss
8,Support,Morgana,2,8,16,Win
8,Support,Ziggs,3,6,11,Win
8,Support,Veigar,3,9,9,Loss
8,Support,Soraka,0,6,5,Loss
8,Mid,Ahri,9,13,21,Win
8,Mid,Lux,10,7,12,Win
8,Support,Xerath,6,6,18,Win
8,Support,Janna,3,5,14,Win
8,Support,Nami,3,4,33,Win
8,Support,Lulu,4,2,24,Win
8,Support,Lulu,3,8,23,Win
8,Support,Morgana,1,4,3,Loss
8,Mid,Ahri,9,6,24,Loss
8,Mid,Lux,12,7,23,Win
8,Support,Morgana,5,7,14,Win
8,Support,Lux,6,5,12,Win
8,Support,Blitzcrank,3,11,16,Loss
8,Support,Morgana,5,8,16,Win
8,Support,Morgana,1,7,8,Loss
8,Mid,Lux,6,8,9,Win
8,Support,Morgana,7,9,20,Win
8,Support,Zyra,3,11,9,Loss
8,Mid,Lux,5,5,4,Loss
8,Top,Nasus,4,10,5,Loss
8,Support,Zyra,3,13,12,Loss
8,Support,Braum,5,9,15,Loss
8,Support,Morgana,10,10,11,Loss
8,Support,Morgana,7,5,15,Win
8,Support,Zyra,2,12,5,Loss
8,Support,Lux,5,6,13,Win
8,Support,Lulu,4,10,19,Win
8,Support,Morgana,5,12,13,Loss
8,Support,Veigar,11,10,10,Win
8,Support,Morgana,3,7,21,Win
8,Support,Lux,4,7,9,Win
8,Support,Soraka,1,4,15,Win
8,ADC,Caitlyn,2,5,10,Win
8,Top,Nasus,2,8,5,Loss
8,Support,Morgana,2,5,14,Win
8,Support,Janna,0,8,6,Loss
8,Support,Taliyah,8,15,19,Win
8,Mid,Lux,4,7,2,Loss
8,ADC,Caitlyn,6,16,12,Win
8,Top,Maokai,2,13,23,Win
8,Support,Morgana,8,5,20,Win
8,Jungle,Maokai,3,11,17,Win
8,Support,Leona,2,6,3,Loss
8,Mid,Ahri,13,5,10,Win
8,Top,Nasus,4,5,7,Win
8,ADC,Miss Fortune,2,8,10,Loss
8,Top,Nasus,1,8,2,Loss
8,Top,Shen,5,8,7,Win
8,Support,Morgana,3,3,3,Loss
8,Support,Janna,1,5,3,Loss
8,Support,Morgana,4,4,9,Win
8,Mid,Lux,8,11,11,Win
8,Support,Lux,9,8,11,Win
8,Support,Morgana,12,9,28,Win
8,Support,Soraka,1,8,1,Loss
8,Support,Morgana,4,6,7,Loss
8,Support,Nami,3,3,22,Win
8,Support,Morgana,7,7,22,Win
8,Support,Soraka,0,10,31,Win
8,Support,Sona,5,7,27,Win
8,ADC,Caitlyn,1,5,4,Loss
8,Support,Lux,5,15,11,Loss
8,Mid,Lux,10,9,3,Loss
8,Mid,Orianna,6,10,21,Loss
8,Mid,Lux,6,7,9,Loss
8,Mid,Lux,2,3,12,Win
8,Mid,Lux,10,6,13,Win
8,Support,Lux,5,3,22,Win
8,Mid,Lux,10,12,10,Win
8,Support,Soraka,2,8,20,Win
8,Support,Lux,6,6,13,Win
8,Support,Morgana,2,10,8,Loss
8,Mid,Lux,5,4,7,Loss
8,Mid,Lux,4,7,15,Win
8,Support,Morgana,0,6,11,Win
8,Support,Nami,2,8,17,Win
8,Support,Lux,6,15,17,Loss
8,Support,Lux,2,9,15,Win
8,Support,Morgana,0,10,4,Loss
8,Support,Lux,0,7,4,Loss
8,Support,Morgana,3,16,22,Win
8,Support,Sona,3,5,16,Win
8,Support,Lux,7,15,7,Loss
8,Support,Lux,7,11,19,Win
8,Support,Morgana,3,7,18,Win
8,Support,Morgana,3,10,7,Loss
8,Support,Morgana,3,9,7,Loss
8,Support,Morgana,3,2,15,Win
8,Support,Morgana,5,3,19,Win
8,Support,Lux,6,10,12,Loss
8,Support,Leona,3,2,9,Win
8,Support,Morgana,3,9,14,Loss
8,Support,Lux,4,10,15,Win
8,Support,Lux,2,3,16,Win
8,Mid,Orianna,10,4,10,Win
8,Mid,Orianna,7,10,13,Loss
8,Mid,Lux,7,6,13,Loss
8,Support,Nami,2,3,4,Loss
8,Support,Morgana,5,2,22,Win
8,Support,Sona,1,9,10,Loss
8,Support,Morgana,2,6,9,Win
8,Support,Sona,1,6,10,Win
8,Support,Lux,0,12,11,Loss
8,Support,Morgana,2,9,7,Loss
8,Support,Morgana,3,9,23,Win
8,Support,Lux,4,5,13,Win
8,Support,Morgana,4,8,12,Win
8,Support,Morgana,1,8,9,Loss
8,Support,Morgana,4,6,10,Win
8,Support,Morgana,1,7,12,Win
8,Support,Morgana,3,8,10,Win
8,Support,Morgana,2,9,2,Loss
8,Support,Lux,7,7,12,Win
8,Support,Morgana,2,10,17,Loss
8,Support,Morgana,6,2,16,Win
8,Support,Morgana,4,11,3,Loss
8,Support,Morgana,1,4,3,Loss
8,Mid,Lux,13,6,4,Win
8,Support,Morgana,5,9,13,Win
8,Support,Morgana,5,3,10,Win
8,Support,Lux,7,16,10,Loss
8,Support,Nami,1,10,11,Loss
8,Support,Morgana,10,7,27,Win
8,Support,Lux,7,8,13,Win
8,Support,Morgana,4,11,24,Win
8,Support,Zyra,3,7,2,Loss
8,Support,Morgana,4,6,16,Win
8,Support,Morgana,2,4,10,Win
8,Support,Morgana,1,8,11,Win
8,Support,Morgana,2,6,13,Win
8,Mid,Lux,6,7,9,Loss
8,Support,Morgana,4,4,27,Win
8,Support,Morgana,1,9,6,Loss
8,Mid,Lux,10,9,22,Win
8,Mid,Lux,18,3,22,Win
8,Top,Maokai,0,9,14,Win
8,Top,Maokai,6,7,14,Win
8,Support,Zyra,6,11,21,Loss
8,Support,Morgana,2,5,1,Loss
8,Support,Nami,1,7,25,Win
8,Support,Morgana,3,7,17,Win
8,Support,Morgana,7,9,27,Win
8,Support,Morgana,4,11,23,Win
8,Support,Nami,2,5,24,Win
8,Support,Morgana,5,5,24,Win
8,Support,Morgana,2,1,13,Win
8,Top,Maokai,6,5,9,Win
8,Top,Shen,0,7,3,Loss
8,Support,Soraka,1,5,11,Win
8,Support,Morgana,1,6,13,Win
8,Support,Morgana,7,8,22,Win
8,Support,Karma,10,1,15,Win
8,Support,Zilean,10,0,13,Win
8,Support,Ziggs,5,1,14,Win
8,Support,Morgana,1,8,18,Win
8,Support,Xerath,5,1,14,Win
8,Support,Sona,5,1,17,Win
8,Support,Soraka,0,9,15,Win
8,Support,Morgana,1,8,1,Loss
8,Support,Lulu,1,6,15,Win
8,Mid,Lux,2,4,12,Win
8,Support,Morgana,13,8,18,Win
8,Support,Braum,1,3,15,Win
8,Support,Morgana,8,8,21,Win
8,Support,Morgana,4,4,8,Win
8,Support,Morgana,6,15,20,Win
8,Support,Morgana,3,7,16,Win
8,Support,Morgana,2,2,13,Win
8,Support,Morgana,0,8,13,Win
8,Support,Nami,2,10,14,Win
8,Support,Rakan,6,1,11,Win
8,Support,Thresh,5,4,14,Win
8,Support,Nami,2,10,17,Loss
8,Support,Janna,0,3,21,Win
8,Support,Morgana,13,6,24,Win
8,Support,Morgana,9,14,27,Win
8,Support,Morgana,3,12,9,Loss
8,Support,Nami,2,6,34,Win
8,Support,Morgana,9,11,29,Win
8,Support,Morgana,7,5,16,Win
8,Support,Lux,7,10,16,Loss
8,Support,Morgana,4,5,10,Loss
8,Support,Morgana,3,3,23,Win
8,Support,Nami,3,8,24,Win
8,Support,Morgana,8,10,24,Loss
8,Mid,Lux,0,7,3,Loss
8,Support,Morgana,2,7,11,Loss
8,Support,Lulu,2,3,31,Win
8,Support,Morgana,4,0,14,Win
8,Support,Morgana,1,10,2,Win
8,Support,Nami,2,11,10,Loss
8,Support,Morgana,2,8,15,Win
8,Support,Nami,1,11,35,Win
8,Support,Morgana,1,4,8,Win
8,Support,Morgana,6,9,7,Loss
8,Support,Morgana,8,8,3,Win
8,Support,Morgana,6,10,13,Win
8,Support,Zyra,6,14,19,Win
8,Support,Morgana,4,4,14,Win
8,Support,Morgana,0,4,9,Win
8,Support,Morgana,3,9,7,Win
8,Support,Lux,7,10,9,Loss
8,ADC,Caitlyn,0,13,5,Loss
8,Support,Morgana,2,14,10,Loss
8,Support,Janna,0,6,6,Loss
8,Support,Zyra,3,13,14,Loss
8,Support,Morgana,11,4,23,Win
8,Support,Morgana,11,4,23,Win
8,Support,Morgana,2,7,12,Win
8,Support,Morgana,3,5,7,Win
8,Support,Zyra,2,8,8,Win
8,Support,Nami,2,9,20,Win
8,Support,Morgana,5,11,6,Loss
8,Support,Janna,0,8,7,Loss
8,Support,Zyra,2,9,19,Win
8,Support,Lux,5,10,25,Win
8,Support,Lux,13,12,17,Win
8,Support,Morgana,2,6,20,Win
8,Support,Morgana,4,6,7,Win
8,Support,Morgana,6,14,23,Win
